1,Physical sciences
1k6,Water chemistry; History
1k7,Water chemistry; Chemicophysical properties  
1m0,Mathematics; Statistics; Methods
1m1,Mathematics; Statistics; 
1m2,Mathematics; Statistics; 
1m3,Mathematics; Statistics; Biology
1m4,Mathematics; Statistics; Socioeconomic environment
1m5,Mathematics; Statistics; Geographical distribution
1m6,Mathematics; Statistics; History
1m7,Mathematics; Statistics; Chemicophysical properties  
1n0,Electronics; Methods
1n1,Electronics; 
1n2,Electronics; 
1n3,Electronics; Biology
1n4,Electronics; Socioeconomic environment
1n5,Electronics; Geographical distribution
1n6,Electronics; History
1n7,Electronics; Chemicophysical properties  
1p0,Climatology; Meteorology; Methods
1p1,Climatology; Meteorology; 
1p2,Climatology; Meteorology; 
1p3,Climatology; Meteorology; Biology
1p4,Climatology; Meteorology; Socioeconomic environment
1p5,Climatology; Meteorology; Geographical distribution
1p6,Climatology; Meteorology; History
1p7,Climatology; Meteorology; Chemicophysical properties  
1q0,Microscopy; Methods
1q1,Microscopy; 
1q2,Microscopy; 
1q3,Microscopy; Biology
1q4,Microscopy; Socioeconomic environment
1q5,Microscopy; Geographical distribution
1q6,Microscopy; History
1q7,Microscopy; Chemicophysical properties  
2,Microorganisms
2a0,Microorganisms; Methods; 
2a1,Microorganisms; Methods; Bacteria
2a2,Microorganisms; Methods; Protozoa
2a3,Microorganisms; Methods; Actinomycetales  
2a4,Microorganisms; Methods; Viruses  
2a5,Microorganisms; Methods; Yeasts  
2a9,Microorganisms; Methods; 
2b0,Microorganisms; Morphology; Taxonomy; 
2b1,Microorganisms; Morphology; Taxonomy; Bacteria
2b2,Microorganisms; Morphology; Taxonomy; Protozoa
2b3,Microorganisms; Morphology; Taxonomy; Actinomycetales  
2b4,Microorganisms; Morphology; Taxonomy; Viruses  
2b5,Microorganisms; Morphology; Taxonomy; Yeasts  
2b9,Microorganisms; Morphology; Taxonomy; 
2c0,Microorganisms; Geographical distribution;  
2c1,Microorganisms; Geographical distribution;  Bacteria
2c2,Microorganisms; Geographical distribution;  Protozoa
2c3,Microorganisms; Geographical distribution;  Actinomycetales  
2c4,Microorganisms; Geographical distribution;  Viruses  
2c5,Microorganisms; Geographical distribution;  Yeasts  
2c9,Microorganisms; Geographical distribution;  
2d0,Microorganisms; Biochemistry; Physiology; 
2d1,Microorganisms; Biochemistry; Physiology; Bacteria
2d2,Microorganisms; Biochemistry; Physiology; Protozoa
2d3,Microorganisms; Biochemistry; Physiology; Actinomycetales  
2d4,Microorganisms; Biochemistry; Physiology; Viruses  
2d5,Microorganisms; Biochemistry; Physiology; Yeasts  
2d9,Microorganisms; Biochemistry; Physiology; 
2da0,Microorganisms; Physiological techniques; Biochemical techniques; 
2da1,Microorganisms; Physiological techniques; Biochemical techniques; Bacteria
2da2,Microorganisms; Physiological techniques; Biochemical techniques; Protozoa
2da3,Microorganisms; Physiological techniques; Biochemical techniques; Actinomycetales  
2da4,Microorganisms; Physiological techniques; Biochemical techniques; Viruses  
2da5,Microorganisms; Physiological techniques; Biochemical techniques; Yeasts  
2da9,Microorganisms; Physiological techniques; Biochemical techniques; 
2db0,Microorganisms; Histology; Histochemistry; Cytology; 
2db1,Microorganisms; Histology; Histochemistry; Cytology; Bacteria
2db2,Microorganisms; Histology; Histochemistry; Cytology; Protozoa
2db3,Microorganisms; Histology; Histochemistry; Cytology; Actinomycetales  
2db4,Microorganisms; Histology; Histochemistry; Cytology; Viruses  
2db5,Microorganisms; Histology; Histochemistry; Cytology; Yeasts  
2db9,Microorganisms; Histology; Histochemistry; Cytology; 
2dc0,Microorganisms; Animal fluids; Plant fluids; 
2dc1,Microorganisms; Animal fluids; Plant fluids; Bacteria
2dc2,Microorganisms; Animal fluids; Plant fluids; Protozoa
2dc3,Microorganisms; Animal fluids; Plant fluids; Actinomycetales  
2dc4,Microorganisms; Animal fluids; Plant fluids; Viruses  
2dc5,Microorganisms; Animal fluids; Plant fluids; Yeasts  
2dc9,Microorganisms; Animal fluids; Plant fluids; 
2dd0,Microorganisms; Respiration; Energetics; 
2dd1,Microorganisms; Respiration; Energetics; Bacteria
2dd2,Microorganisms; Respiration; Energetics; Protozoa
2dd3,Microorganisms; Respiration; Energetics; Actinomycetales  
2dd4,Microorganisms; Respiration; Energetics; Viruses  
2dd5,Microorganisms; Respiration; Energetics; Yeasts  
2dd9,Microorganisms; Respiration; Energetics; 
2de0,Microorganisms; Photosynthesis; Chemosynthesis: Pigmentation; 
2de1,Microorganisms; Photosynthesis; Chemosynthesis: Pigmentation; Bacteria
2de2,Microorganisms; Photosynthesis; Chemosynthesis: Pigmentation; Protozoa
2de3,Microorganisms; Photosynthesis; Chemosynthesis: Pigmentation; Actinomycetales  
2de4,Microorganisms; Photosynthesis; Chemosynthesis: Pigmentation; Viruses  
2de5,Microorganisms; Photosynthesis; Chemosynthesis: Pigmentation; Yeasts  
2de9,Microorganisms; Photosynthesis; Chemosynthesis: Pigmentation; 
2df0,Microorganisms;  Metabolism; 
2df1,Microorganisms;  Metabolism; Bacteria
2df2,Microorganisms;  Metabolism; Protozoa
2df3,Microorganisms;  Metabolism; Actinomycetales  
2df4,Microorganisms;  Metabolism; Viruses  
2df5,Microorganisms;  Metabolism; Yeasts  
2df9,Microorganisms;  Metabolism; 
2dg0,Microorganisms; Growth; 
2dg1,Microorganisms; Growth; Bacteria
2dg2,Microorganisms; Growth; Protozoa
2dg3,Microorganisms; Growth; Actinomycetales  
2dg4,Microorganisms; Growth; Viruses  
2dg5,Microorganisms; Growth; Yeasts  
2dg9,Microorganisms; Growth; 
2dh0,Microorganisms; Reproduction; 
2dh1,Microorganisms; Reproduction; Bacteria
2dh2,Microorganisms; Reproduction; Protozoa
2dh3,Microorganisms; Reproduction; Actinomycetales  
2dh4,Microorganisms; Reproduction; Viruses  
2dh5,Microorganisms; Reproduction; Yeasts  
2dh9,Microorganisms; Reproduction; 
2dj0,Microorganisms; Endocrinological functions; 
2dj1,Microorganisms; Endocrinological functions; Bacteria
2dj2,Microorganisms; Endocrinological functions; Protozoa
2dj3,Microorganisms; Endocrinological functions; Actinomycetales  
2dj4,Microorganisms; Endocrinological functions; Viruses  
2dj5,Microorganisms; Endocrinological functions; Yeasts  
2dj9,Microorganisms; Endocrinological functions; 
2dk0,Microorganisms; Biological rhythms; 
2dk1,Microorganisms; Biological rhythms; Bacteria
2dk2,Microorganisms; Biological rhythms; Protozoa
2dk3,Microorganisms; Biological rhythms; Actinomycetales  
2dk4,Microorganisms; Biological rhythms; Viruses  
2dk5,Microorganisms; Biological rhythms; Yeasts  
2dk9,Microorganisms; Biological rhythms; 
2dm0,Microorganisms; Movement; 
2dm1,Microorganisms; Movement; Bacteria
2dm2,Microorganisms; Movement; Protozoa
2dm3,Microorganisms; Movement; Actinomycetales  
2dm4,Microorganisms; Movement; Viruses  
2dm5,Microorganisms; Movement; Yeasts  
2dm9,Microorganisms; Movement; 
2dp0,Microorganisms; Senses; 
2dp1,Microorganisms; Senses; Bacteria
2dp2,Microorganisms; Senses; Protozoa
2dp3,Microorganisms; Senses; Actinomycetales  
2dp4,Microorganisms; Senses; Viruses  
2dp5,Microorganisms; Senses; Yeasts  
2dp9,Microorganisms; Senses; 
2dq0,Microorganisms; Physiological response to physical factors; 
2dq1,Microorganisms; Physiological response to physical factors; Bacteria
2dq2,Microorganisms; Physiological response to physical factors; Protozoa
2dq3,Microorganisms; Physiological response to physical factors; Actinomycetales  
2dq4,Microorganisms; Physiological response to physical factors; Viruses  
2dq5,Microorganisms; Physiological response to physical factors; Yeasts  
2dq9,Microorganisms; Physiological response to physical factors; 
2dr0,Microorganisms; Physiological response to chemicals; 
2dr1,Microorganisms; Physiological response to chemicals; Bacteria
2dr2,Microorganisms; Physiological response to chemicals; Protozoa
2dr3,Microorganisms; Physiological response to chemicals; Actinomycetales  
2dr4,Microorganisms; Physiological response to chemicals; Viruses  
2dr5,Microorganisms; Physiological response to chemicals; Yeasts  
2dr9,Microorganisms; Physiological response to chemicals; 
2ds0,Microorganisms; Biochemistry; 
2ds1,Microorganisms; Biochemistry; Bacteria
2ds2,Microorganisms; Biochemistry; Protozoa
2ds3,Microorganisms; Biochemistry; Actinomycetales  
2ds4,Microorganisms; Biochemistry; Viruses  
2ds5,Microorganisms; Biochemistry; Yeasts  
2ds9,Microorganisms; Biochemistry; 
2dt0,Microorganisms; Molecular Biology; 
2dt1,Microorganisms; Molecular Biology; Bacteria
2dt2,Microorganisms; Molecular Biology; Protozoa
2dt3,Microorganisms; Molecular Biology; Actinomycetales  
2dt4,Microorganisms; Molecular Biology; Viruses  
2dt5,Microorganisms; Molecular Biology; Yeasts  
2dt9,Microorganisms; Molecular Biology; 
2du0,Microorganisms; Biodegradation; 
2du1,Microorganisms; Biodegradation; Bacteria
2du2,Microorganisms; Biodegradation; Protozoa
2du3,Microorganisms; Biodegradation; Actinomycetales  
2du4,Microorganisms; Biodegradation; Viruses  
2du5,Microorganisms; Biodegradation; Yeasts  
2du9,Microorganisms; Biodegradation; 
2dv0,Microorganisms; Immunology; 
2dv1,Microorganisms; Immunology; Bacteria
2dv2,Microorganisms; Immunology; Protozoa
2dv3,Microorganisms; Immunology; Actinomycetales  
2dv4,Microorganisms; Immunology; Viruses  
2dv5,Microorganisms; Immunology; Yeasts  
2dv9,Microorganisms; Immunology; 
2e0,Microorganisms; Ecology; 
2e1,Microorganisms; Ecology; Bacteria
2e2,Microorganisms; Ecology; Protozoa
2e3,Microorganisms; Ecology; Actinomycetales  
2e4,Microorganisms; Ecology; Viruses  
2e5,Microorganisms; Ecology; Yeasts  
2e6,Microorganisms; Ecology; 
2ea0,Microorganisms; Ecology; Inland Waters; 
2ea1,Microorganisms; Ecology; Inland Waters; Bacteria
2ea2,Microorganisms; Ecology; Inland Waters; Protozoa
2ea3,Microorganisms; Ecology; Inland Waters; Actinomycetales  
2ea4,Microorganisms; Ecology; Inland Waters; Viruses  
2ea5,Microorganisms; Ecology; Inland Waters; Yeasts  
2ea9,Microorganisms; Ecology; Inland Waters; 
2eb0,Microorganisms; Ecology; Lakes; 
2eb1,Microorganisms; Ecology; Lakes; Bacteria
2eb2,Microorganisms; Ecology; Lakes; Protozoa
2eb3,Microorganisms; Ecology; Lakes; Actinomycetales  
2eb4,Microorganisms; Ecology; Lakes; Viruses  
2eb5,Microorganisms; Ecology; Lakes; Yeasts  
2eb9,Microorganisms; Ecology; Lakes; 
2ec0,Microorganisms; Ecology; Temporary ponds; Temporary pools; 
2ec1,Microorganisms; Ecology; Temporary ponds; Temporary pools; Bacteria
2ec2,Microorganisms; Ecology; Temporary ponds; Temporary pools; Protozoa
2ec3,Microorganisms; Ecology; Temporary ponds; Temporary pools; Actinomycetales  
2ec4,Microorganisms; Ecology; Temporary ponds; Temporary pools; Viruses  
2ec5,Microorganisms; Ecology; Temporary ponds; Temporary pools; Yeasts  
2ec9,Microorganisms; Ecology; Temporary ponds; Temporary pools; 
2ed0,Microorganisms; Ecology; Flowing waters; Rivers; 
2ed1,Microorganisms; Ecology; Flowing waters; Rivers; Bacteria
2ed2,Microorganisms; Ecology; Flowing waters; Rivers; Protozoa
2ed3,Microorganisms; Ecology; Flowing waters; Rivers; Actinomycetales  
2ed4,Microorganisms; Ecology; Flowing waters; Rivers; Viruses  
2ed5,Microorganisms; Ecology; Flowing waters; Rivers; Yeasts  
2ed9,Microorganisms; Ecology; Flowing waters; Rivers; 
2ee0,Microorganisms; Ecology; Estuaries; Lagoons; 
2ee1,Microorganisms; Ecology; Estuaries; Lagoons; Bacteria
2ee2,Microorganisms; Ecology; Estuaries; Lagoons; Protozoa
2ee3,Microorganisms; Ecology; Estuaries; Lagoons; Actinomycetales  
2ee4,Microorganisms; Ecology; Estuaries; Lagoons; Viruses  
2ee5,Microorganisms; Ecology; Estuaries; Lagoons; Yeasts  
2ee9,Microorganisms; Ecology; Estuaries; Lagoons; 
2ef0,Microorganisms; Ecology; Seas; Oceans; 
2ef1,Microorganisms; Ecology; Seas; Oceans; Bacteria
2ef2,Microorganisms; Ecology; Seas; Oceans; Protozoa
2ef3,Microorganisms; Ecology; Seas; Oceans; Actinomycetales  
2ef4,Microorganisms; Ecology; Seas; Oceans; Viruses  
2ef5,Microorganisms; Ecology; Seas; Oceans; Yeasts  
2ef9,Microorganisms; Ecology; Seas; Oceans; 
2eg0,Microorganisms; Ecology; Soil water; 
2eg1,Microorganisms; Ecology; Soil water; Bacteria
2eg2,Microorganisms; Ecology; Soil water; Protozoa
2eg3,Microorganisms; Ecology; Soil water; Actinomycetales  
2eg4,Microorganisms; Ecology; Soil water; Viruses  
2eg5,Microorganisms; Ecology; Soil water; Yeasts  
2eg9,Microorganisms; Ecology; Soil water; 
2eh0,Microorganisms; Ecology; Wetlands; 
2eh1,Microorganisms; Ecology; Wetlands; Bacteria
2eh2,Microorganisms; Ecology; Wetlands; Protozoa
2eh3,Microorganisms; Ecology; Wetlands; Actinomycetales  
2eh4,Microorganisms; Ecology; Wetlands; Viruses  
2eh5,Microorganisms; Ecology; Wetlands; Yeasts  
2eh9,Microorganisms; Ecology; Wetlands; 
2ej0,Microorganisms; Ecology; Snow; Ice; 
2ej1,Microorganisms; Ecology; Snow; Ice; Bacteria
2ej2,Microorganisms; Ecology; Snow; Ice; Protozoa
2ej3,Microorganisms; Ecology; Snow; Ice; Actinomycetales  
2ej4,Microorganisms; Ecology; Snow; Ice; Viruses  
2ej5,Microorganisms; Ecology; Snow; Ice; Yeasts  
2ej9,Microorganisms; Ecology; Snow; Ice; 
2ek0,Microorganisms; Ecology; Atmosphere; 
2ek1,Microorganisms; Ecology; Atmosphere; Bacteria
2ek2,Microorganisms; Ecology; Atmosphere; Protozoa
2ek3,Microorganisms; Ecology; Atmosphere; Actinomycetales  
2ek4,Microorganisms; Ecology; Atmosphere; Viruses  
2ek5,Microorganisms; Ecology; Atmosphere; Yeasts  
2ek9,Microorganisms; Ecology; Atmosphere; 
2em0,Microorganisms; Ecology; Coasts; 
2em1,Microorganisms; Ecology; Coasts; Bacteria
2em2,Microorganisms; Ecology; Coasts; Protozoa
2em3,Microorganisms; Ecology; Coasts; Actinomycetales  
2em4,Microorganisms; Ecology; Coasts; Viruses  
2em5,Microorganisms; Ecology; Coasts; Yeasts  
2em9,Microorganisms; Ecology; Coasts; 
2en0,Microorganisms; Ecology; Laboratory experimentation; 
2en1,Microorganisms; Ecology; Laboratory experimentation; Bacteria
2en2,Microorganisms; Ecology; Laboratory experimentation; Protozoa
2en3,Microorganisms; Ecology; Laboratory experimentation; Actinomycetales  
2en4,Microorganisms; Ecology; Laboratory experimentation; Viruses  
2en5,Microorganisms; Ecology; Laboratory experimentation; Yeasts  
2en9,Microorganisms; Ecology; Laboratory experimentation; 
2eo0,Microorganisms; Ecology; Biological interaction; 
2eo1,Microorganisms; Ecology; Biological interaction; Bacteria
2eo2,Microorganisms; Ecology; Biological interaction; Protozoa
2eo3,Microorganisms; Ecology; Biological interaction; Actinomycetales  
2eo4,Microorganisms; Ecology; Biological interaction; Viruses  
2eo5,Microorganisms; Ecology; Biological interaction; Yeasts  
2eo9,Microorganisms; Ecology; Biological interaction; 
2ep0,Microorganisms; Ecology; Underground waters; 
2ep1,Microorganisms; Ecology; Underground waters; Bacteria
2ep2,Microorganisms; Ecology; Underground waters; Protozoa
2ep3,Microorganisms; Ecology; Underground waters; Actinomycetales  
2ep4,Microorganisms; Ecology; Underground waters; Viruses  
2ep5,Microorganisms; Ecology; Underground waters; Yeasts  
2ep9,Microorganisms; Ecology; Underground waters; 
2eq0,Microorganisms; Ecology; Hot springs; 
2eq1,Microorganisms; Ecology; Hot springs; Bacteria
2eq2,Microorganisms; Ecology; Hot springs; Protozoa
2eq3,Microorganisms; Ecology; Hot springs; Actinomycetales  
2eq4,Microorganisms; Ecology; Hot springs; Viruses  
2eq5,Microorganisms; Ecology; Hot springs; Yeasts  
2eq9,Microorganisms; Ecology; Hot springs; 
2er0,Microorganisms; Ecology; Inland seas; Salt lakes; 
2er1,Microorganisms; Ecology; Inland seas; Salt lakes; Bacteria
2er2,Microorganisms; Ecology; Inland seas; Salt lakes; Protozoa
2er3,Microorganisms; Ecology; Inland seas; Salt lakes; Actinomycetales  
2er4,Microorganisms; Ecology; Inland seas; Salt lakes; Viruses  
2er5,Microorganisms; Ecology; Inland seas; Salt lakes; Yeasts  
2er9,Microorganisms; Ecology; Inland seas; Salt lakes; 
2es0,Microorganisms; Ecology; Sewage; 
2es1,Microorganisms; Ecology; Sewage; Bacteria
2es2,Microorganisms; Ecology; Sewage; Protozoa
2es3,Microorganisms; Ecology; Sewage; Actinomycetales  
2es4,Microorganisms; Ecology; Sewage; Viruses  
2es5,Microorganisms; Ecology; Sewage; Yeasts  
2es9,Microorganisms; Ecology; Sewage; 
2et0,Microorganisms; Ecology; Canals; 
2et1,Microorganisms; Ecology; Canals; Bacteria
2et2,Microorganisms; Ecology; Canals; Protozoa
2et3,Microorganisms; Ecology; Canals; Actinomycetales  
2et4,Microorganisms; Ecology; Canals; Viruses  
2et5,Microorganisms; Ecology; Canals; Yeasts  
2et9,Microorganisms; Ecology; Canals; 
2eu0,Microorganisms; Ecology; Plant litter; 
2eu1,Microorganisms; Ecology; Plant litter; Bacteria
2eu2,Microorganisms; Ecology; Plant litter; Protozoa
2eu3,Microorganisms; Ecology; Plant litter; Actinomycetales  
2eu4,Microorganisms; Ecology; Plant litter; Viruses  
2eu5,Microorganisms; Ecology; Plant litter; Yeasts  
2eu9,Microorganisms; Ecology; Plant litter; 
2ew0,Microorganisms; Ecology; Water supply; 
2ew1,Microorganisms; Ecology; Water supply; Bacteria
2ew2,Microorganisms; Ecology; Water supply; Protozoa
2ew3,Microorganisms; Ecology; Water supply; Actinomycetales  
2ew4,Microorganisms; Ecology; Water supply; Viruses  
2ew5,Microorganisms; Ecology; Water supply; Yeasts  
2ew9,Microorganisms; Ecology; Water supply; 
2ex0,Microorganisms; Radioecology; 
2ex1,Microorganisms; Radioecology; Bacteria
2ex2,Microorganisms; Radioecology; Protozoa
2ex3,Microorganisms; Radioecology; Actinomycetales  
2ex4,Microorganisms; Radioecology; Viruses  
2ex5,Microorganisms; Radioecology; Yeasts  
2ex9,Microorganisms; Radioecology; 
2f0,Microorganisms; Life cycle; 
2f1,Microorganisms; Life cycle; Bacteria
2f2,Microorganisms; Life cycle; Protozoa
2f3,Microorganisms; Life cycle; Actinomycetales  
2f4,Microorganisms; Life cycle; Viruses  
2f5,Microorganisms; Life cycle; Yeasts  
2f9,Microorganisms; Life cycle; 
2g0,Microorganisms; Sociology; Biological control; 
2g1,Microorganisms; Sociology; Biological control; Bacteria
2g2,Microorganisms; Sociology; Biological control; Protozoa
2g3,Microorganisms; Sociology; Biological control; Actinomycetales  
2g4,Microorganisms; Sociology; Biological control; Viruses  
2g5,Microorganisms; Sociology; Biological control; Yeasts  
2g9,Microorganisms; Sociology; Biological control; 
2h0,Microorganisms; Pathology; 
2h1,Microorganisms; Pathology; Bacteria
2h2,Microorganisms; Pathology; Protozoa
2h3,Microorganisms; Pathology; Actinomycetales  
2h4,Microorganisms; Pathology; Viruses  
2h5,Microorganisms; Pathology; Yeasts  
2h9,Microorganisms; Pathology; 
2m0,Microorganisms; Fossils; 
2m1,Microorganisms; Fossils; Bacteria
2m2,Microorganisms; Fossils; Protozoa
2m3,Microorganisms; Fossils; Actinomycetales  
2m4,Microorganisms; Fossils; Viruses  
2m5,Microorganisms; Fossils; Yeasts  
2m9,Microorganisms; Fossils; 
2n0,Microorganisms; Genetics; 
2n1,Microorganisms; Genetics; Bacteria
2n2,Microorganisms; Genetics; Protozoa
2n3,Microorganisms; Genetics; Actinomycetales  
2n4,Microorganisms; Genetics; Viruses  
2n5,Microorganisms; Genetics; Yeasts  
2n9,Microorganisms; Genetics; 
2p0,Microorganisms; Behaviour; 
2p1,Microorganisms; Behaviour; Bacteria
2p2,Microorganisms; Behaviour; Protozoa
2p3,Microorganisms; Behaviour; Actinomycetales  
2p4,Microorganisms; Behaviour; Viruses  
2p5,Microorganisms; Behaviour; Yeasts  
2p9,Microorganisms; Behaviour; 
3,Higher plants
3a0,Higher plants; Methods; 
3a1,Higher plants; Methods; Bryophyta
3a2,Higher plants; Methods; Pteridophyta
3a3,Higher plants; Methods; Flowering plants
3b0,Higher plants; Morphology; Taxonomy; 
3b1,Higher plants; Morphology; Taxonomy; Bryophyta
3b2,Higher plants; Morphology; Taxonomy; Pteridophyta
3b3,Higher plants; Morphology; Taxonomy; Flowering plants
3c0,Higher plants; Geographical distribution;  
3c1,Higher plants; Geographical distribution;  Bryophyta
3c2,Higher plants; Geographical distribution;  Pteridophyta
3c3,Higher plants; Geographical distribution;  Flowering plants
3d0,Higher plants; Biochemistry; Physiology; 
3d1,Higher plants; Biochemistry; Physiology; Bryophyta
3d2,Higher plants; Biochemistry; Physiology; Pteridophyta
3d3,Higher plants; Biochemistry; Physiology; Flowering plants
3da0,Higher plants; Physiological techniques; Biochemical techniques; 
3da1,Higher plants; Physiological techniques; Biochemical techniques; Bryophyta
3da2,Higher plants; Physiological techniques; Biochemical techniques; Pteridophyta
3da3,Higher plants; Physiological techniques; Biochemical techniques; Flowering plants
3db0,Higher plants; Histology; Histochemistry; Cytology; 
3db1,Higher plants; Histology; Histochemistry; Cytology; Bryophyta
3db2,Higher plants; Histology; Histochemistry; Cytology; Pteridophyta
3db3,Higher plants; Histology; Histochemistry; Cytology; Flowering plants
3dc0,Higher plants; Plant fluids; 
3dc1,Higher plants; Plant fluids; Bryophyta
3dc2,Higher plants; Plant fluids; Pteridophyta
3dc3,Higher plants; Plant fluids; Flowering plants
3dd0,Higher plants; Respiration; Energy metabolism; 
3dd1,Higher plants; Respiration; Energy metabolism; Bryophyta
3dd2,Higher plants; Respiration; Energy metabolism; Pteridophyta
3dd3,Higher plants; Respiration; Energy metabolism; Flowering plants
3de0,Higher plants; Photosynthesis; Chemosynthesis: Pigmentation; 
3de1,Higher plants; Photosynthesis; Chemosynthesis: Pigmentation; Bryophyta
3de2,Higher plants; Photosynthesis; Chemosynthesis: Pigmentation; Pteridophyta
3de3,Higher plants; Photosynthesis; Chemosynthesis: Pigmentation; Flowering plants
3df0,Higher plants;  Metabolism; 
3df1,Higher plants;  Metabolism; Bryophyta
3df2,Higher plants;  Metabolism; Pteridophyta
3df3,Higher plants;  Metabolism; Flowering plants
3dg0,Higher plants; Growth; 
3dg1,Higher plants; Growth; Bryophyta
3dg2,Higher plants; Growth; Pteridophyta
3dg3,Higher plants; Growth; Flowering plants
3dh0,Higher plants; Reproduction; 
3dh1,Higher plants; Reproduction; Bryophyta
3dh2,Higher plants; Reproduction; Pteridophyta
3dh3,Higher plants; Reproduction; Flowering plants
3dj0,Higher plants; Endocrinological functions; 
3dj1,Higher plants; Endocrinological functions; Bryophyta
3dj2,Higher plants; Endocrinological functions; Pteridophyta
3dj3,Higher plants; Endocrinological functions; Flowering plants
3dk0,Higher plants; Biological rhythms; 
3dk1,Higher plants; Biological rhythms; Bryophyta
3dk2,Higher plants; Biological rhythms; Pteridophyta
3dk3,Higher plants; Biological rhythms; Flowering plants
3dm0,Higher plants; Movement; 
3dm1,Higher plants; Movement; Bryophyta
3dm2,Higher plants; Movement; Pteridophyta
3dm3,Higher plants; Movement; Flowering plants
3dp0,Higher plants; Senses; 
3dp1,Higher plants; Senses; Bryophyta
3dp2,Higher plants; Senses; Pteridophyta
3dp3,Higher plants; Senses; Flowering plants
3dq0,Higher plants; Physiological response to physical factors; 
3dq1,Higher plants; Physiological response to physical factors; Bryophyta
3dq2,Higher plants; Physiological response to physical factors; Pteridophyta
3dq3,Higher plants; Physiological response to physical factors; Flowering plants
3dr0,Higher plants; Physiological response to chemicals; 
3dr1,Higher plants; Physiological response to chemicals; Bryophyta
3dr2,Higher plants; Physiological response to chemicals; Pteridophyta
3dr3,Higher plants; Physiological response to chemicals; Flowering plants
3ds0,Higher plants; Biochemistry; 
3ds1,Higher plants; Biochemistry; Bryophyta
3ds2,Higher plants; Biochemistry; Pteridophyta
3ds3,Higher plants; Biochemistry; Flowering plants
3dt0,Higher plants; Molecular Biology; 
3dt1,Higher plants; Molecular Biology; Bryophyta
3dt2,Higher plants; Molecular Biology; Pteridophyta
3dt3,Higher plants; Molecular Biology; Flowering plants
3du0,Higher plants; Biodegradation; 
3du1,Higher plants; Biodegradation; Bryophyta
3du2,Higher plants; Biodegradation; Pteridophyta
3du3,Higher plants; Biodegradation; Flowering plants
3dv0,Higher plants; Immunology; 
3dv1,Higher plants; Immunology; Bryophyta
3dv2,Higher plants; Immunology; Pteridophyta
3dv3,Higher plants; Immunology; Flowering plants
3e0,Higher plants; Ecology; 
3e1,Higher plants; Ecology; Bryophyta
3e2,Higher plants; Ecology; Pteridophyta
3e3,Higher plants; Ecology; Flowering plants
3ea0,Higher plants; Ecology; Inland Waters; 
3ea1,Higher plants; Ecology; Inland Waters; Bryophyta
3ea2,Higher plants; Ecology; Inland Waters; Pteridophyta
3ea3,Higher plants; Ecology; Inland Waters; Flowering plants
3eb0,Higher plants; Ecology; Lakes; 
3eb1,Higher plants; Ecology; Lakes; Bryophyta
3eb2,Higher plants; Ecology; Lakes; Pteridophyta
3eb3,Higher plants; Ecology; Lakes; Flowering plants
3ec0,Higher plants; Ecology; Temporary ponds; Temporary pools; 
3ec1,Higher plants; Ecology; Temporary ponds; Temporary pools; Bryophyta
3ec2,Higher plants; Ecology; Temporary ponds; Temporary pools; Pteridophyta
3ec3,Higher plants; Ecology; Temporary ponds; Temporary pools; Flowering plants
3ed0,Higher plants; Ecology; Flowing waters; Rivers; 
3ed1,Higher plants; Ecology; Flowing waters; Rivers; Bryophyta
3ed2,Higher plants; Ecology; Flowing waters; Rivers; Pteridophyta
